S.No, Var, Age
1895,129,18
1896,331,16
1897,291,18
1898,360,17
1899,396,14
1900,253,18
1901,252,15
1902,184,9
1903,376,16
1904,228,18
1905,191,5
1906,104,13
1907,179,15
1908,245,6
1909,253,16
1910,181,13
1911,217,17
1912,272,17
1913,191,17
1914,311,13
1915,223,8
1916,406,17
1917,337,15
1918,119,18
1919,343,14
1920,266,16
1921,447,16
1922,377,16
1923,352,17
1924,320,14
1925,292,18
1926,298,17
1927,408,17
1928,255,17
1929,161,16
1930,428,14
1931,397,16
1932,138,5
1933,355,17
1934,328,17
1935,275,16
1936,310,17
1937,252,17
1938,286,17
1939,300,17
1940,275,9
1941,406,14
1942,404,17
1943,354,16
1944,196,16
1945,337,16
1946,37.4,5
1947,171,16
1948,387,17
1949,45.3,5
1950,267,17
1951,102,6
1952,121,5
1953,397,16
1954,308,17
1955,116,5
1956,184,6
1957,161,5
1958,161,5
1959,139,5
1960,734,12
1961,496,13
1962,225,9
1963,473,12
1964,226,11
1965,459,11
1966,521,13
1967,296,12
1968,478,12
1969,481,13
1970,214,6
1971,311,13
1972,463,13
1973,452,13
1974,293,11
1975,120,11
1976,82.1,11
1977,421,11
1978,80.2,5
1979,197,7
1980,170,9
1981,735,12
1982,1246,10
1983,277,11
1984,543,12
1985,644,12
1986,989,12
